,Player,Team,Position,Age,Matches played,Minutes played,Birth country,Passport country,Successful defensive actions per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,PAdj Interceptions,Fouls per 90,Assists per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Short / medium passes per 90,Long passes per 90,"Average pass length, m",xA per 90,Shot assists per 90,Key passes per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90
40,S. Atladottir,Kristianstad,"LCB, RCB",36.0,20,1676,Iceland,Iceland,12.03,65.73,1.56,51.72,1.01,0.64,7.72,0.86,0.0,46.5,76.33,20.89,64.52,4.35,37.75,8.16,20.02,0.06,0.32,0.21,45.05,0.86,18.75,0.43,0.11,0.21,10.31
41,R. Kafaji,AIK,"LW, CF, RW",,20,1673,Sweden,Sweden,9.47,58.87,3.77,37.14,0.72,0.0,4.42,1.83,0.0,22.49,65.79,6.67,45.97,6.13,19.96,1.72,15.77,0.05,0.27,0.11,39.22,1.29,33.33,1.13,0.48,0.05,3.44
42,E. Östlund,Eskilstuna United,"RCB, LCB",21.0,20,1648,Sweden,Sweden,12.12,67.52,2.51,52.17,0.06,0.82,6.61,0.66,0.05,46.04,86.0,17.15,73.57,2.62,40.36,5.3,21.55,0.04,0.11,0.11,68.97,0.6,36.36,0.66,0.38,0.05,8.79
43,A. Johnsson Haahr,Växjö,"LW, RW",25.0,22,1638,Sweden,Sweden,10.11,61.81,2.14,30.77,1.12,0.0,4.47,1.15,0.0,29.51,67.78,7.75,47.52,7.03,25.16,2.47,18.07,0.1,0.88,0.33,45.76,2.64,43.75,0.66,0.49,0.71,5.05
44,E. Karlsson,Hammarby,"LB, LCB",27.0,19,1546,Sweden,Sweden,14.2,65.63,2.62,40.0,0.16,0.23,9.35,0.23,0.17,47.27,78.33,22.24,68.06,2.79,39.94,6.0,21.14,0.06,0.35,0.29,55.66,1.57,37.04,0.47,0.17,0.7,12.11
45,B. Campos,Vittsjö,"RCMF, LW, LCMF",27.0,20,1501,United States,"United States, Mexico",10.19,65.57,1.92,34.38,0.38,0.54,6.39,0.66,0.0,39.39,82.34,13.55,71.68,7.55,34.78,3.9,17.86,0.09,0.78,0.3,71.91,1.56,38.46,1.08,0.54,0.12,6.6
46,E. Wangerheim,Hammarby,"CF, RW, LAMF",17.0,22,1485,Sweden,Sweden,6.24,60.42,2.3,39.47,0.08,0.06,3.54,0.48,0.24,26.3,68.43,6.0,53.54,8.0,22.3,1.39,17.23,0.16,0.97,0.67,45.95,2.18,33.33,0.67,1.21,0.79,2.79
47,J. Rantala,Kristianstad,"CF, RWB, LAMF",21.0,24,1439,Finland,Finland,9.69,67.2,1.81,27.59,0.25,0.13,5.64,0.56,0.0,27.71,73.59,8.32,58.65,5.88,22.58,2.44,17.88,0.17,1.56,0.38,65.45,2.38,57.89,0.19,0.56,1.0,5.57
48,P. Nyström,Eskilstuna United,"LW, RW, LAMF",21.0,24,1426,Sweden,Sweden,9.78,59.44,1.58,40.0,0.15,0.13,5.02,1.26,0.0,23.92,73.61,7.26,56.52,6.75,21.46,0.95,14.27,0.04,0.38,0.25,57.5,1.2,31.58,0.63,0.38,0.32,2.97
49,E. Nilsson,Växjö,"LW, CF, RW",21.0,19,1406,Sweden,Sweden,8.83,63.41,2.82,52.27,0.0,0.06,4.13,1.15,0.0,30.85,73.03,9.41,56.46,6.34,28.68,1.66,15.82,0.15,1.09,0.51,45.9,1.98,51.61,1.28,1.02,0.19,4.61
50,C. Edlund,Piteå,"LW, RCMF, RWF",27.0,21,1396,Sweden,Sweden,8.64,53.78,2.39,37.84,0.14,0.13,4.71,0.84,0.0,26.11,77.78,7.54,58.97,8.7,24.82,0.77,14.7,0.01,0.26,0.06,54.05,1.35,19.05,0.45,0.39,0.0,2.64
51,J. Danielsson,AIK,"LW, CF, RW",27.0,16,1373,Finland,Finland,5.24,60.32,2.43,32.43,0.07,0.07,2.72,0.2,0.0,28.32,70.6,6.55,56.0,6.1,24.06,2.03,17.68,0.04,0.39,0.2,56.52,1.97,20.0,0.72,0.26,0.39,4.85
52,E. Henriksen,Växjö,"RB, LB",24.0,20,1373,Denmark,Denmark,12.85,60.93,1.31,45.0,0.56,0.2,6.67,0.59,0.0,43.33,70.95,21.76,65.36,2.49,34.41,6.29,19.83,0.05,0.33,0.2,44.23,3.34,27.45,0.85,0.0,0.92,10.75
53,F. Lång,Djurgården,"LB, LCB, LWB",25.0,18,1345,Sweden,Sweden,15.52,66.22,2.14,43.75,0.55,0.54,8.61,0.74,0.2,31.92,62.68,15.59,55.36,3.21,20.81,8.57,23.39,0.14,1.2,0.54,45.88,3.01,44.44,0.74,0.67,1.14,10.17
54,A. Selerud,Linköping,"LB, LWB",21.0,18,1339,Sweden,Sweden,10.01,66.67,1.08,25.0,0.0,0.13,4.52,0.34,0.07,39.25,67.98,12.7,54.5,7.6,31.73,3.76,18.07,0.11,1.28,0.81,54.88,4.91,41.1,0.94,1.14,1.34,10.55
55,N. Okobi,Eskilstuna United,"RW, RAMF, LW",27.0,21,1314,Nigeria,Nigeria,10.68,68.7,1.78,30.77,0.32,0.0,4.95,0.48,0.0,31.44,74.73,8.77,60.94,8.36,27.12,2.33,17.4,0.1,0.96,0.41,62.07,2.88,38.1,1.3,1.16,0.34,4.73
